,Institution,City,State
0,Hampton University,Hampton,Virginia
1,Norfolk State University,Norfolk,Virginia
2,Virginia State University,Petersburg,Virginia
3,Virginia Union University,Richmond,Virginia
4,Virginia University of Lynchburg,Lynchburg,Virginia
5,University of the District of Columbia,Washington,District of Columbia
6,Howard University,Washington,District of Columbia
7,Bowie State University,Bowie,Maryland
8,Coppin State University,Baltimore,Maryland
9,University of Maryland Eastern Shore,Princess Anne,Maryland
10,Morgan State University,Baltimore,Maryland
